No,Style Category,Type,Keywords,Primary Colors,Effects & Animation,Best For,Performance,Accessibility
11,Retro-Futurism,General,"vintage sci-fi, 80s aesthetic, neon glow, geometric patterns, CRT scanlines, pixel art, cyberpunk, synthwave","Neon Blue #0080FF, Hot Pink #FF006E, Cyan #00FFFF, Deep Black #1A1A2E, Purple #5D34D0","CRT scanlines (::before overlay), neon glow (text-shadow+box-shadow), glitch effects (skew/offset keyframes)","Gaming, entertainment, music platforms, tech brands, artistic projects, nostalgic, cyberpunk",Moderate,High contrast/strain
12,Flat Design,General,"2D, minimalist, bold colors, no shadows, clean lines, simple shapes, typography-focused, modern, icon-heavy","Solid bright: Red, Orange, Blue, Green, limited palette (4-6 max)","No gradients/shadows, simple hover (color/opacity shift), fast loading, clean transitions (150-200ms ease), minimal icons","Web apps, mobile apps, cross-platform, startup MVPs, user-friendly, SaaS, dashboards, corporate",Excellent,WCAG AAA
13,Soft UI Evolution,General,"evolved soft UI, better contrast, modern aesthetics, subtle depth, accessibility-focused, improved shadows, hybrid","Improved contrast pastels: Soft Blue #87CEEB, Soft Pink #FFB6C1, Soft Green #90EE90, better hierarchy","Improved shadows (softer than flat, clearer than neumorphism), modern (200-300ms), focus visible, WCAG AA/AAA","Modern enterprise apps, SaaS platforms, health/wellness, modern business tools, professional, hybrid",Excellent,WCAG AA+
14,Motion-Driven,General,"animation-heavy, microinteractions, smooth transitions, scroll effects, parallax, entrance anim, page transitions","Bold colors emphasize movement, high contrast animated, dynamic gradients, accent action colors","Scroll anim (Intersection Observer), hover (300-400ms), entrance, parallax (3-5 layers), page transitions","Portfolio sites, storytelling platforms, interactive experiences, entertainment apps, creative, SaaS",Good,Prefers-reduced-motion
15,Bento Box Grid,General,"bento, grid, modular, apple-style, showcase, features, dashboard, cards","Neutral #F5F5F7 or Glass. Icons: Vibrant brand colors. Text: Dark.","Hover card scale (1.02), video inside cards, tilt effect, staggered reveal","Product features, dashboards, portfolios, landing pages, app showcases",Good,WCAG AA
16,AI-Native UI,General,"ai, chat, streaming, typing, conversational, minimal chrome, context-aware, smart suggestions, ai platform","Neutral + AI Purple (#6366F1) + Cyan accents","Streaming text animation, typing indicators, fade-in suggestions, minimal UI chrome","AI products, chatbots, copilots, AI platforms, conversational UI",Good,WCAG AA
17,Cyberpunk UI,General,"cyberpunk, neon, dark, futuristic, glitch, holographic, tech, gaming, edgy","Dark #000000 + Neon accents (Cyan #00FFFF, Pink #FF00FF, Yellow #FFFF00)","Glitch effects, neon glow, scanlines, holographic overlays, cyber aesthetic","Gaming, crypto, tech brands, futuristic products, entertainment",Moderate,High contrast needed
18,Organic Biophilic,General,"organic, natural, nature, green, sustainable, wellness, calm, earth tones","Earth Green #228B22, Brown #8B4513, Sky Blue #87CEEB, Cream #FFF8DC","Soft transitions, natural curves, breathing animations, organic shapes","Wellness, sustainability, healthcare, eco-friendly brands, nature-focused",Good,WCAG AA
19,Liquid Glass,General,"liquid, glass, morphing, flowing, translucent, premium, luxury, chromatic","Vibrant iridescent (rainbow spectrum), translucent base with opacity shifts","Morphing elements (SVG/CSS), fluid animations (400-600ms curves), dynamic blur, color transitions","Premium SaaS, high-end e-commerce, creative platforms, branding experiences, luxury portfolios",Moderate-Poor,Text contrast
20,Hero-Centric Design,Landing Page,"large hero section, compelling headline, high-contrast CTA, product showcase, value proposition, hero image/video, dramatic visual","Brand primary color, white/light backgrounds for contrast, accent color for CTA","Smooth scroll reveal, fade-in animations on hero, subtle background parallax, CTA glow/pulse effect","SaaS landing pages, product launches, service landing pages, B2B platforms, tech companies",Good,WCAG AA
